BPG	P2G	P3G	ADP	DHAP	E4P	F6P	FBP	GAP	NADPH	PEP	PHI	R5P	Ru5P	RuBP	S7P	SBP	Xu5P	PYR	ATP	NADP	O2	CO2_cax	CO2_cyt	ACCOA	NADH	NAD	COA	PPool
2.919408E-02	3.430570E-01	1.048722E+01	5.955176E-01	8.947764E-01	4.543072E-03	2.311964E+00	5.878281E-02	4.266728E+01	3.349379E+00	2.324664E-01	5.957359E+00	6.921559E-02	2.222001E-02	1.093202E-01	1.911302E+00	1.876147E-04	1.084698E-01	4.378263E-01	3.259716E+00	2.640874E-01	2.730000E-01	1.500000E-01	1.360000E-02	6.891128E-03	2.022627E-04	1.553978E-02	5.305293E-02	6.553095E+00
4.603296E-03	3.987727E-01	4.359597E+00	1.522018E-01	4.111565E+00	1.196019E-03	8.878792E-01	5.522216E-02	4.486693E-01	9.587178E+00	1.986177E-01	1.176588E+01	4.840590E-02	8.430053E-03	9.652687E-02	4.602821E-01	1.057554E-04	4.592655E-01	2.383012E-02	8.438915E-01	5.764743E-01	2.730000E-01	1.500000E-01	1.360000E-02	6.278570E-02	3.376570E-03	1.548946E-01	1.098226E-01	1.294247E+01
1.589840E-02	1.830102E-01	1.112300E+01	1.484851E+00	5.952758E+00	1.233822E-03	5.859095E-01	1.274593E+00	5.944089E+00	4.557945E+00	2.775516E-01	1.222183E+00	1.175612E-01	2.213901E-02	7.004839E+00	7.035635E-02	3.790536E-04	1.015112E-01	1.032521E+01	4.195514E+00	2.587886E-01	2.730000E-01	1.500000E-01	1.360000E-02	7.213590E-02	1.634420E-03	8.974755E-02	1.019618E+01	1.344401E+00
5.794014E-03	4.893085E-01	9.465504E+00	1.105318E-01	5.049948E+00	2.287171E-02	5.826001E-01	1.978023E+00	1.741927E+01	2.015734E+01	2.375296E+00	2.753628E+00	1.063494E-01	2.067731E-02	2.165870E+00	1.653881E-01	7.942554E-03	4.994730E-01	8.241396E-01	1.431146E+00	1.249478E+00	2.730000E-01	1.500000E-01	1.360000E-02	9.512092E-03	3.011562E-02	5.608375E-01	1.397385E-03	3.028991E+00
9.087060E-04	7.263214E-02	7.499659E-01	1.263935E+00	6.983414E-01	7.595378E-03	1.335369E+00	4.401159E-01	8.532530E+00	2.569069E+00	3.155088E-01	1.347149E+00	1.189241E-01	2.750855E-02	2.503135E+00	7.000750E-01	7.603248E-04	1.206537E-01	3.627121E-02	1.635247E+01	9.809683E-02	2.730000E-01	1.500000E-01	1.360000E-02	7.985953E-02	9.934439E-03	5.661303E-01	1.327972E-03	1.481864E+00
3.522550E-02	3.389402E-01	1.129303E+01	2.727263E-01	4.436252E+00	8.522799E-03	3.935093E+00	2.972473E+00	7.632968E+00	2.281703E-02	1.672392E+00	2.770323E+00	2.605543E-02	8.244259E-03	1.121336E+01	4.033913E-01	6.483337E-04	7.806070E+00	1.770248E-02	2.195578E+00	5.994278E-03	2.730000E-01	1.500000E-01	1.360000E-02	4.893928E-02	1.078198E-03	1.665159E-02	1.950910E+01	3.047355E+00
1.034845E-02	3.815261E-01	1.015102E+01	1.290404E+00	3.358452E-01	1.980675E-02	5.009542E-01	2.197525E+00	9.360345E+00	6.694549E-02	9.622000E-01	2.601188E+00	3.063614E-02	1.196477E-02	1.116879E+01	5.802900E-01	5.781808E-04	1.663356E-01	1.102042E-03	1.599242E+01	9.202859E-03	2.730000E-01	1.500000E-01	1.360000E-02	3.111400E-03	6.144248E-02	4.987786E-01	1.629403E-03	2.861307E+00
1.379826E-02	7.501744E-02	2.283276E+00	2.532172E+00	1.390731E-01	2.670712E-01	7.334859E-01	2.000605E-01	3.014891E+00	6.336309E-01	1.790395E-01	1.636974E+00	1.164277E-01	8.962811E-03	4.661347E-01	2.410380E+00	2.028695E-03	4.173967E-02	1.995537E-01	3.474601E+01	6.076086E-02	2.730000E-01	1.500000E-01	1.360000E-02	1.889206E-02	9.836118E-04	1.055359E-02	9.442941E-04	1.800671E+00
7.332353E-04	2.214360E-01	1.593897E+00	1.398333E+00	1.696127E+00	1.904296E-01	3.679651E+00	2.926473E-02	8.771786E-01	6.689799E-01	2.930892E-01	2.633125E+00	3.145263E-02	8.776993E-03	3.467430E-01	2.260176E-02	2.730490E-03	4.591740E-02	1.917950E+01	1.250338E+01	1.599330E-01	2.730000E-01	1.500000E-01	1.360000E-02	4.629279E-01	2.214767E-03	1.041904E-02	5.313625E+00	2.896438E+00
1.823778E-04	9.362530E-02	8.966290E+00	6.553479E-01	1.342321E+00	4.279162E-03	2.120309E+00	2.260563E-01	4.834378E-01	6.568041E-01	2.088108E-01	2.354747E+00	1.541617E-01	3.511473E-02	7.961345E-01	1.559770E+00	1.587329E-04	1.493666E-01	1.248492E-02	1.374994E+00	5.863769E-02	2.730000E-01	1.500000E-01	1.360000E-02	3.951191E-01	2.932941E-03	3.333857E-02	2.434536E-02	2.590222E+00
3.838982E-03	3.128768E-01	8.833438E+00	1.876238E+00	4.505710E-01	3.433662E-03	2.677825E+00	6.771293E-01	4.630082E+00	7.831607E-02	3.728693E-01	1.638948E+00	3.382889E-02	1.314653E-02	1.332904E-01	2.166849E-01	1.448280E-04	2.251505E+00	3.519672E+00	4.069906E+00	1.942076E-02	2.730000E-01	1.500000E-01	1.360000E-02	6.757292E-03	1.353705E-02	4.236263E-01	1.451025E+00	1.802843E+00
4.137607E-02	2.405706E-01	1.063032E+01	7.361321E-02	5.104223E+00	4.975252E-02	2.841362E+00	9.552981E-01	2.540804E+01	3.477233E+00	1.057332E+00	2.469368E+00	3.518418E-02	1.199197E-02	1.162423E+00	3.610192E+00	1.343506E-02	5.423522E-02	2.237574E-03	7.428960E-01	6.907081E-01	2.730000E-01	1.500000E-01	1.360000E-02	8.076714E-03	2.825616E-02	9.260893E-02	6.911604E-01	2.716305E+00
1.682802E-03	7.722829E-02	7.308671E+00	1.175971E+00	4.686990E-01	8.138850E-01	3.017303E+00	1.600212E+00	8.210714E+00	5.458109E+00	2.032886E-01	1.394232E+00	1.314272E-01	2.031919E-02	2.344363E+00	1.848685E-01	4.165422E-02	3.948399E-01	1.915252E-01	7.364526E+00	4.760762E-01	2.730000E-01	1.500000E-01	1.360000E-02	2.103182E-02	1.080696E-02	1.815661E-01	2.253208E+01	1.533655E+00
4.345243E-03	6.977042E-02	2.561732E+00	1.237136E-01	3.540630E+00	5.019410E-03	6.492939E-01	2.185073E-01	2.994074E+00	1.203674E+00	1.904434E-01	3.050072E+00	2.740253E-02	9.456529E-03	8.020308E-01	3.467591E-01	2.331325E-04	6.948401E-01	3.819370E+01	4.982350E-01	7.910741E-02	2.730000E-01	1.500000E-01	1.360000E-02	6.791265E-03	8.290278E-03	2.477593E-02	2.885506E-03	3.355079E+00
1.775540E-04	7.134066E-02	5.538137E+00	5.821820E-02	1.025444E+00	9.802287E-03	1.694125E+00	8.172397E-02	8.790076E-01	7.675600E+00	3.188979E-01	1.941813E+00	6.130885E-02	7.810524E-03	7.445743E-01	3.870967E-02	1.594345E-03	7.321353E-02	2.534630E-01	4.439684E-02	5.665156E-01	2.730000E-01	1.500000E-01	1.360000E-02	3.508748E-01	1.607355E-03	9.614639E-02	3.648935E+01	2.135994E+00
9.627096E-04	6.796873E-02	4.613894E+00	4.111681E+00	3.596838E+00	2.718646E-03	1.857487E-01	7.033129E-02	3.937221E+00	1.762573E+01	2.616843E-01	2.404097E+00	2.890857E-02	7.846514E-03	2.240179E+00	3.816982E-01	1.290040E-03	6.729018E-02	2.171093E-04	2.110881E+01	7.600649E-01	2.730000E-01	1.500000E-01	1.360000E-02	6.089036E-03	1.332010E-02	4.973650E-02	1.622973E-02	2.644507E+00
1.905414E-02	3.436283E-01	1.043835E+01	2.652652E+00	5.375921E+00	2.610070E-02	1.109815E+00	1.140340E-01	4.011190E+00	1.522168E-01	7.256863E-01	1.357160E+00	6.549930E-02	8.316298E-03	2.521082E+00	3.238702E-01	1.521736E-02	6.114332E-01	3.288261E-01	3.733773E+01	6.123889E-02	2.730000E-01	1.500000E-01	1.360000E-02	3.440028E-01	5.017005E-03	3.881967E-02	9.581116E-03	1.492876E+00
7.437746E-03	6.814650E-02	8.617349E+00	4.014509E-01	4.172438E-01	1.650373E-01	1.940953E+00	1.519562E-01	4.342276E+01	3.385424E-01	1.708515E-01	1.449475E+00	1.087765E-01	1.844097E-02	2.097487E-01	1.251238E+00	2.132340E-03	1.381682E+00	8.502860E-03	3.937483E+00	3.181955E-02	2.730000E-01	1.500000E-01	1.360000E-02	2.577302E-03	7.263151E-03	6.142283E-01	1.358850E-01	1.594423E+00
1.414665E-02	9.462396E-02	6.455150E+00	4.324483E-02	2.536373E+00	3.973999E-03	2.885465E+00	5.020185E-02	5.263589E-01	4.472887E-02	1.768598E-01	3.301316E+00	3.990102E-02	8.412881E-03	9.394040E+00	1.394987E-01	1.088317E-04	4.104253E-02	9.886530E-03	3.879352E-01	1.151927E-02	2.730000E-01	1.500000E-01	1.360000E-02	5.563659E-01	6.809003E-03	3.196140E-01	1.577755E+01	3.631448E+00
3.159118E-02	2.595274E-01	1.021850E+01	1.843383E-01	4.504658E-02	5.756042E-02	2.684783E-01	3.298419E-01	2.060243E+01	2.809999E+00	2.711516E-01	4.829016E+00	9.349835E-02	7.838988E-03	1.258845E+00	4.262212E-01	1.134679E-04	1.283606E-01	4.864250E-01	2.343715E+00	1.192303E-01	2.730000E-01	1.500000E-01	1.360000E-02	9.620030E-01	2.844606E-03	2.339319E-01	3.871180E-01	5.311918E+00
