Organism	Study	KEGG_ID	metabolite	concentration
PCC 6803	Yoshikawa_2013_Autotrophic	C00035		0.0913038
PCC 6803	Yoshikawa_2013_Mixotrophic	C00035		0.0478258
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00035		0.0304346
PCC 6803	Shastri_2007	C00036		0.043478
PCC 6803	Dempo_2014	C00037		7.260826
PCC 6803	Hasunuma_2013	C00037		0.1608686
PCC 6803	Yoshikawa_2013_Autotrophic	C00037		0.152173
PCC 6803	Yoshikawa_2013_Mixotrophic	C00037		0.1652164
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00037		0.1652164
PCC 6803	Dempo_2014	C00041		1.9695534
PCC 6803	Hasunuma_2013	C00041		0.43478
PCC 6803	Yoshikawa_2013_Autotrophic	C00041		0.891299
PCC 6803	Yoshikawa_2013_Mixotrophic	C00041		1.1130368
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00041		0.913038
PCC 6803	Dempo_2014	C00042		0.14043394
PCC 6803	Hasunuma_2013	C00042		0.0739126
PCC 6803	Shastri_2007	C00042		1.73912
PCC 6803	Yoshikawa_2013_Autotrophic	C00042		0.065217
PCC 6803	Yoshikawa_2013_Mixotrophic	C00042		0.3782586
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00042		0.2782592
PCC 6803	Dempo_2014	C00044		0.36130218
PCC 6803	Yoshikawa_2013_Autotrophic	C00044		0.2304334
PCC 6803	Yoshikawa_2013_Mixotrophic	C00044		0.7043436
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00044		0.4652146
PCC 6803	Dempo_2014	C00047		0.06826046
PCC 6803	Hasunuma_2013	C00047		0.2913026
PCC 6803	Yoshikawa_2013_Autotrophic	C00047		1.043472
PCC 6803	Yoshikawa_2013_Mixotrophic	C00047		0.173912
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00047		0.3217372
PCC 6803	Shastri_2007	C00048		0.043478
PCC 6803	Dempo_2014	C00049		3.1043292
PCC 6803	Hasunuma_2013	C00049		1.391296
PCC 6803	Yoshikawa_2013_Autotrophic	C00049		1.3304268
PCC 6803	Yoshikawa_2013_Mixotrophic	C00049		1.8956408
